system:index,%_MANCHA_ALT_DO_LOTE,%_MANCHA_NPMEN20_DO_LOTE,%_MANCHA_NPTOTAL_DO_LOTE,ArM2_TOTAL_MANCHA_ALT,ArM2_TOTAL_MANCHA_NPMEN20,ArM2_TOTAL_MANCHA_NPTOTAL,CEU,CEU_Nome,CO_CEP,CO_DISTRIT,CO_ENTIDAD,CO_MUNICIP,CO_ORGAO_R,CO_UF,DS_COMPLEM,DS_ENDEREC,IN_LOCAL_1,IN_LOCAL_F,IN_PATIO_D,IN_QUADRA_,IN_QUADR_1,IN_TERREIR,IN_VINCULO,IN_VIVEIRO,NO_BAIRRO,NO_ENTIDAD,NO_MUNICIP,NO_UF,NU_ANO_CEN,NU_DDD,NU_ENDEREC,NU_TELEFON,Nome,SG_UF,TP_DEPENDE,TP_LOCALIZ,TP_LOCAL_1,TP_SITUACA,TipoNome,eq_areap,eq_bairro,eq_categor,eq_cd_catg,eq_cd_dirt,eq_cd_dist,eq_cd_mec,eq_cd_subp,eq_cep,eq_classe,eq_compend,eq_diretor,eq_distr,eq_dre,eq_email,eq_ender,eq_enderec,eq_eol,eq_esfera,eq_fone1,eq_fone2,eq_id,eq_nome,eq_num,eq_regiao5,eq_regiao8,eq_setor,eq_subpref,eq_telefon,eq_tipo,eq_zona,eq_zona_1,layer,t_CodMec,t_NoEsco,t_NoLote,.geo
1_1_1_00000000000000000075,29.41185409343065,6.770877947971139,10.9719208540889,5900.918118128734,1358.4453476445506,2201.3031328422376,CEU HELIOPOLIS - PROFA ARLETE PERSOLI,CAMPOS SALLES PRES,4232000,355030868,35053442,3550308,19910,35,,DAS LAGRIMAS,0,0,1,1,1,0,1,0,IPIRANGA,CEU EMEF CAMPOS SALLES PRES,São Paulo,São Paulo,2021,11,2385,29476723,PRESIDENTE CAMPOS SALLES,SP,3,1,0,1,EMEF PRESIDENTE CAMPOS SALLES,"3,55031E+12",SAO JOAO CLIMACO,ESCOLAS AUTONOMAS,1,10316,68,35053442,13,4241000,CEU,RUA,CENTRO SUL,SACOMA,IPIRANGA,,FRONTINI CAVALHEIRO,FRONTINI CAVALHEIRO 87,35053442,MUNICIPAL,1129404131,1129476723,1835,CEU EMEF CAMPOS SALLES PRES,87,Sul,Sul 1,355030868000277,IPIRANGA,1129404131 / 1129476723,CEU EMEF,Urbana,Urbana,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35053442,981,2134,"{""type"":""Point"",""coordinates"":[-46.590692771260365,-23.62179431772648]}"
1_1_1_00000000000000000552,46.34903097508082,3.3087756337306518,4.123764097823611,11287.859130396822,805.8203690972838,1004.3029432103394,CEU JAGUARE - PROF HENRIQUE GAMBA,JAGUARE - HENRIQUE GAMBA PROF,5347010,355030841,35455520,3550308,19921,35,,KENKITI SIMOMOTO,0,0,1,1,1,0,1,0,JAGUARE,CEU AT COMPL JAGUARE - HENRIQUE GAMBA PROF,São Paulo,São Paulo,2021,11,80,37162153,JAGUARE,SP,3,1,0,1,CEU JAGUARE,"3,55031E+12",JAGUARE,ESCOLAS AUTONOMAS,1,10312,41,35455520,8,5347000,CEU,AVENIDA,CENTRO OESTE,JAGUARE,PIRITUBA,,KENKITI SIMOMOTO,KENKITI SIMOMOTO 80,35455520,MUNICIPAL,0,,5651,CEU AT COMPL JAGUARE - HENRIQUE GAMBA PROF,80,Oeste,Oeste,355030841000025,LAPA,00 /,CEU AT COM,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35455520,2324,2051,"{""type"":""Point"",""coordinates"":[-46.741929144490776,-23.550617962661068]}"
1_1_1_00000000000000000900,46.34903097508082,3.3087756337306518,4.123764097823611,11287.859130396822,805.8203690972838,1004.3029432103394,CEU JAGUARE - PROF HENRIQUE GAMBA,JAGUARE,5347010,355030841,35397477,3550308,19921,35,,KENKITI SHIMOMOTO,0,0,1,1,1,0,1,0,JAGUARE,CEU EMEF JAGUARE,São Paulo,São Paulo,2021,11,80,37162170,JAGUARE,SP,3,1,0,1,EMEF JAGUARE,"3,55031E+12",JAGUARE,ESCOLAS AUTONOMAS,1,10312,41,35397477,8,5347000,CEU,AVENIDA,CENTRO OESTE,JAGUARE,PIRITUBA,EMEFCEUJAGUARE@SME.PREFEITURA.SP.GOV.BR,KENKITI SIMOMOTO,KENKITI SIMOMOTO SN,35397477,MUNICIPAL,1137144607,1137192321,5125,CEU EMEF JAGUARE,SN,Oeste,Oeste,355030841000025,LAPA,1137144607 / 1137192321,CEU EMEF,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35397477,2191,2051,"{""type"":""Point"",""coordinates"":[-46.74287564370396,-23.550127747436584]}"
1_1_1_00000000000000000908,46.34903097508082,3.3087756337306518,4.123764097823611,11287.859130396822,805.8203690972838,1004.3029432103394,CEU JAGUARE - PROF HENRIQUE GAMBA,JAGUARE,5347010,355030841,35397465,3550308,19921,35,,KENKITI SHIMOMOTO,0,0,0,0,0,0,1,0,JAGUARE,CEU EMEI JAGUARE,São Paulo,São Paulo,2021,11,80,37162176,CEU JAGUARE,SP,3,1,0,1,EMEI CEU JAGUARE,"3,55031E+12",JAGUARE,ESCOLAS AUTONOMAS,1,10312,41,35397465,8,5347000,CEU,AVENIDA,CENTRO OESTE,JAGUARE,PIRITUBA,EMEICEUJAGUARE@SME.PREFEITURA.SP.GOV.BR,KENKITI SIMOMOTO,KENKITI SIMOMOTO SN,35397465,MUNICIPAL,1137192407,,5124,CEU EMEI JAGUARE,SN,Oeste,Oeste,355030841000025,LAPA,1137192407 /,CEU EMEI,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35397465,2190,2051,"{""type"":""Point"",""coordinates"":[-46.74287564370396,-23.550127747436584]}"
1_1_1_0000000000000000090e,46.34903097508082,3.3087756337306518,4.123764097823611,11287.859130396822,805.8203690972838,1004.3029432103394,CEU JAGUARE - PROF HENRIQUE GAMBA,JAGUARE,5347010,355030841,35397453,3550308,19921,35,,KENKITI SHIMOMOTO,0,0,1,0,0,0,1,0,JAGUARE,CEU CEI JAGUARE,São Paulo,São Paulo,2021,11,80,37162179,JAGUARE,SP,3,1,0,1,CEI JAGUARE,"3,55031E+12",JAGUARE,ESCOLAS AUTONOMAS,1,10312,41,35397453,8,5347000,CEU,AVENIDA,CENTRO OESTE,JAGUARE,PIRITUBA,CEICEUJAGUARE@SME.PREFEITURA.SP.GOV.BR,KENKITI SIMOMOTO,KENKITI SIMOMOTO SN,35397453,MUNICIPAL,1137143564,1137192284,5123,CEU CEI JAGUARE,SN,Oeste,Oeste,355030841000025,LAPA,1137143564 / 1137192284,CEU CEI,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35397453,2189,2051,"{""type"":""Point"",""coordinates"":[-46.74287564370396,-23.550127747436584]}"
1_1_1_000000000000000003f6,47.05787430608249,5.419434508096815,5.419434508096815,8824.522813226937,1016.2788727009743,1016.2788727009743,CEU JAMBEIRO - JOSE GUILHERME GIANETTI,JAMBEIRO - JOSE GUILHERME GIANETTI,8420092,355030896,35455908,3550308,19909,35,,JOSE PINHEIRO BORGES,0,0,1,1,1,0,1,0,JARDIM HELENA,CEU AT COMPL JAMBEIRO - JOSE GUILHERME GIANETTI,São Paulo,São Paulo,2021,11,60,29602055,JAMBEIRO,SP,3,1,0,1,CEU JAMBEIRO,"3,55031E+12",JARDIM SAO PAULOZONA LESTE,ESCOLAS AUTONOMAS,1,10210,96,35455908,28,8430000,CEU,AVENIDA,LESTE 2,LAJEADO,GUAIANASES,,FLORES DO JAMBEIRO,FLORES DO JAMBEIRO 60,35455908,MUNICIPAL,0,,5681,CEU AT COMPL JAMBEIRO - JOSE GUILHERME GIANETTI,60,Leste,Leste 2,355030896000121,GUAIANASES,00 /,CEU AT COM,,,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35455908,2350,929,"{""type"":""Point"",""coordinates"":[-46.42247447437682,-23.539344158590154]}"
1_1_1_00000000000000000aef,47.05787430608249,5.419434508096815,5.419434508096815,8824.522813226937,1016.2788727009743,1016.2788727009743,CEU JAMBEIRO - JOSE GUILHERME GIANETTI,JAMBEIRO,8420092,355030896,35057551,3550308,19909,35,,JOSE PINHEIRO BORGES,0,0,0,1,1,0,1,0,JARDIM HELENA,CEU EMEF JAMBEIRO,São Paulo,São Paulo,2021,11,60,29602041,JAMBEIRO,SP,3,1,0,1,EMEF JAMBEIRO,"3,55031E+12",JARDIM SAO PAULOZONA LESTE,ESCOLAS AUTONOMAS,1,10210,96,35057551,28,8430000,CEU,AVENIDA,LESTE 2,LAJEADO,GUAIANASES,EMEFCEUJAMBEIRO@SME.PREFEITURA.SP.GOV.BR,FLORES DO JAMBEIRO,FLORES DO JAMBEIRO SN,35057551,MUNICIPAL,1129262041,1129602039,2079,CEU EMEF JAMBEIRO,SN,Leste,Leste 2,355030896000091,GUAIANASES,1129262041 / 1129602039,CEU EMEF,Urbana,Urbana,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35057551,1225,929,"{""type"":""Point"",""coordinates"":[-46.42247447437682,-23.539344158590154]}"
1_1_1_00000000000000000af0,47.05787430608249,5.419434508096815,5.419434508096815,8824.522813226937,1016.2788727009743,1016.2788727009743,CEU JAMBEIRO - JOSE GUILHERME GIANETTI,THERESINHA SQUINCA DA SILVA PROFA,8420092,355030896,35057575,3550308,19909,35,,JOSE PINHEIRO BORGES,0,0,0,0,0,0,1,0,JARDIM HELENA,CEU EMEI THERESINHA SQUINCA DA SILVA PROFA,São Paulo,São Paulo,2021,11,60,29602027,PROFESSORA THERESINHA SQUINCA DA SILVA,SP,3,1,0,1,EMEI PROFESSORA THERESINHA SQUINCA DA SILVA,"3,55031E+12",JARDIM HELENA,ESCOLAS AUTONOMAS,1,10210,96,35057575,28,8420000,CEU,AVENIDA,LESTE 2,LAJEADO,GUAIANASES,,JOSE PINHEIRO BORGES,JOSE PINHEIRO BORGES 60,35057575,MUNICIPAL,1129602021,1129602027,2080,CEU EMEI THERESINHA SQUINCA DA SILVA PROFA,60,Leste,Leste 2,355030896000121,GUAIANASES,1129602021 / 1129602027,CEU EMEI,Urbana,Urbana,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35057575,1226,929,"{""type"":""Point"",""coordinates"":[-46.42304563472448,-23.53865306507375]}"
1_1_1_00000000000000000af2,47.05787430608249,5.419434508096815,5.419434508096815,8824.522813226937,1016.2788727009743,1016.2788727009743,CEU JAMBEIRO - JOSE GUILHERME GIANETTI,EVANIR APARECIDA HILARIO PROFA,8420092,355030896,35057605,3550308,19909,35,,JOSE PINHEIRO BORGES,0,0,0,0,0,0,1,0,JARDIM HELENA,CEU CEI EVANIR APARECIDA HILARIO PROFA,São Paulo,São Paulo,2021,11,60,29602012,PROFESSORA EVANIR APARECIDA HILARIO,SP,3,1,0,1,CEI PROFESSORA EVANIR APARECIDA HILARIO,"3,55031E+12",JARDIM SAO PAULOZONA LESTE,ESCOLAS AUTONOMAS,1,10210,96,35057605,28,8430000,CEU,AVENIDA,LESTE 2,LAJEADO,GUAIANASES,,FLORES DO JAMBEIRO,FLORES DO JAMBEIRO SN,35057605,MUNICIPAL,1129602011,1129602012,2081,CEU CEI EVANIR APARECIDA HILARIO PROFA,SN,Leste,Leste 2,355030896000091,GUAIANASES,1129602011 / 1129602012,CEU CEI,Urbana,Urbana,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35057605,1227,929,"{""type"":""Point"",""coordinates"":[-46.42247447437682,-23.539344158590154]}"
1_1_1_0000000000000000036e,35.19162280545846,1.4587713632108361,1.4587713632108361,3904.025803404405,161.83058890819828,161.83058890819828,CEU SAO MATEUS,MARIA LISBOA DA SILVA PROFA,8341240,355030833,35249828,3550308,19924,35,,CURUMATIM,0,0,0,1,1,0,1,0,PARQUE BOA ESPERANCA,CEU EMEF MARIA LISBOA DA SILVA PROFA,São Paulo,São Paulo,2021,11,201,27328122,PROFESSORA MARIA LISBOA DA SILVA,SP,3,1,0,1,EMEF PROFESSORA MARIA LISBOA DA SILVA,"3,55031E+12",PARQUE BOA ESPERANCA,ESCOLAS AUTONOMAS,1,10211,33,35249828,30,8341000,CEU,RUA,LESTE 3,IGUATEMI,SAO MATEUS,EMEFCEUMARIALISBOASILVA@SME.PREFEITURA.SP.GOV.BR,CURUMATIM,CURUMATIM 201,35249828,MUNICIPAL,1127328121,1127328124,4367,CEU EMEF MARIA LISBOA DA SILVA PROFA,201,Leste,Leste 2,355030833000070,SAO MATEUS,1127328121 / 1127328124,CEU EMEF,Urbana,Urbana,SIRGAS_SHP_TEMA_EDUCACAO_CEU,35249828,1975,2034,"{""type"":""Point"",""coordinates"":[-46.449316469617806,-23.60253191701897]}"
